08868: Fangst, etter år, landingskommune, fangstart og statistikkvariabel;;;;
;;;;
år;landingskommune;fangstart;Mengde (tonn);Verdi (1 000 kr)
2000;0137 Våler (Østfold) (-2019);Djupvassfisk;0;0
2000;0137 Våler (Østfold) (-2019);Andre skaldyr og blautdyr;0;0
2000;0137 Våler (Østfold) (-2019);Annan fisk, uspesifisert;0;0
2000;0138 Hobøl (-2019);Fisk i alt;0;0
2000;0138 Hobøl (-2019);Pelagisk fisk;0;0
2000;0138 Hobøl (-2019);Torsk og torskeartar;0;0
2000;0138 Hobøl (-2019);Flatfisk og botnfisk;0;0
2000;0138 Hobøl (-2019);Djupvassfisk;0;0
2000;0138 Hobøl (-2019);Andre skaldyr og blautdyr;0;0
2000;0138 Hobøl (-2019);Annan fisk, uspesifisert;0;0
2000;0199 Uoppgitt kommune Østfold;Fisk i alt;0;0
2000;0199 Uoppgitt kommune Østfold;Pelagisk fisk;0;0
2000;0199 Uoppgitt kommune Østfold;Torsk og torskeartar;0;0
2000;0199 Uoppgitt kommune Østfold;Flatfisk og botnfisk;0;0
2000;0199 Uoppgitt kommune Østfold;Djupvassfisk;0;0
2000;0199 Uoppgitt kommune Østfold;Andre skaldyr og blautdyr;0;0
2000;0199 Uoppgitt kommune Østfold;Annan fisk, uspesifisert;0;0
2000;0211 Vestby (-2019);Fisk i alt;27;388
2000;0211 Vestby (-2019);Pelagisk fisk;:;:
2000;0211 Vestby (-2019);Torsk og torskeartar;:;:
2000;0211 Vestby (-2019);Flatfisk og botnfisk;1;20
2000;0211 Vestby (-2019);Djupvassfisk;:;:
2000;0211 Vestby (-2019);Andre skaldyr og blautdyr;:;:
2000;0211 Vestby (-2019);Annan fisk, uspesifisert;0;0
2000;0213 Ski (1931-2019);Fisk i alt;0;0
2000;0213 Ski (1931-2019);Pelagisk fisk;0;0
2000;0213 Ski (1931-2019);Torsk og torskeartar;0;0
2000;0213 Ski (1931-2019);Flatfisk og botnfisk;0;0
2000;0213 Ski (1931-2019);Djupvassfisk;0;0
2000;0213 Ski (1931-2019);Andre skaldyr og blautdyr;0;0
2000;0213 Ski (1931-2019);Annan fisk, uspesifisert;0;0
2000;0214 Ås (-2019);Fisk i alt;0;0
2000;0214 Ås (-2019);Pelagisk fisk;0;0
2000;0214 Ås (-2019);Torsk og torskeartar;0;0
2000;0214 Ås (-2019);Flatfisk og botnfisk;0;0
2000;0214 Ås (-2019);Djupvassfisk;0;0
2000;0214 Ås (-2019);Andre skaldyr og blautdyr;0;0
